Current(A),Voltage(V),Temperature (C)_1,SOC
0.0,2.897813559,26.68616867,56.0
1.17886889,3.123105288,26.58084297,70.0
1.17886889,3.14341855,26.61142731,71.0
1.17886889,3.160961628,26.61142731,73.0
1.178907394,3.176658154,26.59785271,74.0
1.17886889,3.190815926,26.64201164,74.0
1.178907394,3.204358101,26.56726837,75.0
1.178907394,3.216976881,26.49251556,76.0
1.17886889,3.228056908,26.49251556,77.0
1.178907394,3.238828897,26.52310371,77.0
1.178907394,3.249293327,26.62844086,78.0
1.178945899,3.25914216,26.50609398,79.0
1.178907394,3.268067598,26.59785271,79.0
1.178907394,3.276993036,26.55369377,80.0
1.17886889,3.284995317,26.55369377,80.0
1.17886889,3.29299736,26.49251556,81.0
1.178907394,3.300999641,26.62844086,81.0
1.178907394,3.308386326,26.52310371,82.0
1.17886889,3.315465212,26.49251556,82.0
1.17886889,3.321928501,26.58428001,83.0
1.17886889,3.32839179,26.52310371,83.0
1.178830266,3.33516264,26.49251556,83.0
1.17886889,3.341318369,26.59785271,84.0
1.178907394,3.34747386,26.52310371,84.0
1.178830266,3.353013754,26.53668022,85.0
1.178830266,3.358861446,26.52310371,85.0
1.17886889,3.364709139,26.43133736,85.0
1.178791761,3.369633675,26.40074921,86.0
1.17886889,3.37486577,26.32598877,86.0
1.178791761,3.380098104,26.55025864,86.0
1.17886889,3.384714603,26.40074921,87.0
1.17886889,3.389639139,26.47550774,87.0
1.17886889,3.394255638,26.32598877,87.0
1.17886889,3.398872375,26.47550774,87.0
1.17886889,3.403181076,26.26480675,88.0
1.17886889,3.407490015,26.5196743,88.0
1.17886889,3.411798954,26.41433334,88.0
1.17886889,3.415800095,26.339571,88.0
1.178907394,3.419800997,26.48908997,89.0
1.17886889,3.423186541,26.44492149,89.0
1.17886889,3.426572084,26.44492149,89.0
1.178907394,3.429957628,26.48908997,89.0
1.17886889,3.432727575,26.48908997,90.0
1.17886889,3.435189962,26.48908997,90.0
1.17886889,3.437344313,26.41433334,90.0
1.17886889,3.438883066,26.56383896,90.0
1.17886889,3.440422058,26.45850563,90.0
1.178907394,3.441653252,26.48908997,90.0
1.17886889,3.442884207,26.48908997,90.0
1.178907394,3.443807602,26.56383896,90.0
1.17886889,3.444730997,26.38374901,90.0
1.17886889,3.445346355,26.5196743,90.0
1.17886889,3.446269751,26.45850563,90.0
1.178907394,3.446885347,26.56383896,90.0
1.178907394,3.447500944,26.53325844,90.0
1.178907394,3.448116541,26.53325844,91.0
1.17886889,3.448731899,26.48908997,91.0
1.178907394,3.449347496,26.63858414,91.0
1.17886889,3.449655294,26.60800362,91.0
1.17886889,3.450270891,26.50267601,91.0
1.178907394,3.451194286,26.60800362,91.0
1.178907394,3.451501846,26.60800362,91.0
1.178907394,3.451809645,26.60800362,91.0
1.17886889,3.45273304,26.577425,91.0
1.17886889,3.453040838,26.68274879,91.0
1.17886889,3.453656435,26.50267601,91.0
1.17886889,3.454272032,26.56383896,91.0
1.17886889,3.45488739,26.68274879,91.0
1.178907394,3.455502987,26.65217209,91.0
1.178907394,3.455810785,26.577425,91.0
1.17886889,3.456426382,26.75748444,91.0
1.17886889,3.457349777,26.577425,91.0
1.17886889,3.457657576,26.68274879,91.0
1.17886889,3.458272934,26.75748444,91.0
1.178907394,3.458888531,26.83221626,91.0
1.178830266,3.459504128,26.75748444,91.0
1.17886889,3.460119724,26.68274879,91.0
1.17886889,3.461043119,26.68274879,91.0
1.178907394,3.461350679,26.72690964,91.0
1.17886889,3.462274075,26.68274879,91.0
1.178907394,3.462889671,26.75748444,91.0
1.178907394,3.463505268,26.78805923,91.0
1.178907394,3.464428425,26.65217209,92.0
1.178945899,3.465044022,26.80164337,92.0
1.178945899,3.465659618,26.83221626,92.0
1.178907394,3.465967417,26.80164337,92.0
1.178907394,3.46719861,26.83221626,92.0
1.17886889,3.467813969,26.83221626,92.0
1.178907394,3.468429565,26.80164337,92.0
1.17886889,3.469045162,26.90694237,92.0
1.178907394,3.469968557,26.83221626,92.0
1.17886889,3.470891714,26.87637138,92.0
1.178907394,3.471199512,26.87637138,92.0
1.17886889,3.472122908,26.80164337,92.0
1.17886889,3.473046303,26.95109558,92.0
1.178907394,3.4736619,26.98166466,92.0
1.178907394,3.474585056,26.95109558,92.0
1.178907394,3.475508451,26.87637138,92.0
1.178907394,3.476124048,26.95109558,92.0
1.17886889,3.476739645,26.95109558,92.0
1.178830266,3.477355003,26.90694237,92.0
1.178907394,3.478278399,26.90694237,92.0
1.17886889,3.479201794,26.9205265,92.0
1.17886889,3.47981739,26.87637138,92.0
1.178907394,3.480740547,26.84579849,93.0
1.178907394,3.481663942,26.99524498,93.0
1.17886889,3.482279539,27.02581406,93.0
1.17886889,3.482895136,26.84579849,93.0
1.17886889,3.483510733,26.80164337,93.0
1.17886889,3.484433889,26.95109558,93.0
1.178907394,3.485665083,26.95109558,93.0
1.178907394,3.485972881,26.95109558,93.0
1.178907394,3.486896276,26.95109558,93.0
1.17886889,3.487511635,27.02581406,93.0
1.17886889,3.488127232,26.90694237,93.0
1.178907394,3.489358425,26.80164337,93.0
1.17886889,3.489666224,26.87637138,93.0
1.17886889,3.490281582,26.90694237,93.0
1.17886889,3.490897179,27.02581406,93.0
1.178907394,3.491820574,27.02581406,93.0
1.17886889,3.492743969,27.13109016,93.0
1.178907394,3.493359566,27.02581406,93.0
1.178907394,3.494282722,26.98166466,93.0
1.178907394,3.494898319,26.87637138,93.0
1.17886889,3.495206118,26.98166466,93.0
1.178907394,3.495821714,26.80164337,93.0
1.178907394,3.496744871,27.04280281,94.0
1.178907394,3.497360468,26.86278915,94.0
1.178907394,3.497976065,26.96808434,94.0
1.178907394,3.498591661,26.99865532,94.0
1.17886889,3.49889946,26.96808434,94.0
1.17886889,3.499822855,26.92393684,94.0
1.17886889,3.500130415,26.89336205,94.0
1.17886889,3.500746012,26.87978745,94.0
1.178907394,3.501361609,27.01565742,94.0
1.178907394,3.502285004,26.98508453,94.0
1.178907394,3.502592802,26.87978745,94.0
1.178907394,3.503208399,27.04623032,94.0
1.17886889,3.503823757,27.1379509,94.0
1.178907394,3.504439354,26.97151566,94.0
1.178907394,3.505054951,27.03266525,94.0
1.178907394,3.505362749,27.1379509,94.0
1.17886889,3.505670547,27.07680511,94.0
1.17886889,3.506593704,27.03266525,94.0
1.178907394,3.507209301,27.1379509,94.0
1.17886889,3.507517099,27.01910591,94.0
1.178907394,3.508132696,26.98852539,94.0
1.17886889,3.508748293,27.06324005,94.0
1.178907394,3.50936389,27.01910591,94.0
1.17886889,3.509979248,26.97496223,94.0
1.17886889,3.510287046,27.09381866,94.0
1.17886889,3.510902643,27.09381866,94.0
1.178907394,3.511210442,27.12439156,94.0
1.178830266,3.511826038,27.04968071,94.0
1.17886889,3.512441635,27.04968071,95.0
1.17886889,3.513056993,27.15496635,95.0
1.178907394,3.513364792,27.04968071,95.0
1.17886889,3.51367259,27.08025932,95.0
1.17886889,3.514595985,27.04968071,95.0
1.17886889,3.514595985,27.08025932,95.0
1.178907394,3.515211582,27.15496635,95.0
1.17886889,3.515827179,27.08025932,95.0
1.17886889,3.516134977,27.08025932,95.0
1.17886889,3.516750336,27.18554115,95.0
1.178907394,3.517365932,27.11083603,95.0
1.178907394,3.517673731,27.08025932,95.0
1.17886889,3.517981529,27.15496635,95.0
1.17886889,3.518597126,27.22966957,95.0
1.178907394,3.518904924,27.15496635,95.0
1.178907394,3.519520283,27.18554115,95.0
1.17886889,3.519520283,27.03612137,95.0
1.178907394,3.52013588,27.11083603,95.0
