Current(A),Voltage(V),Temperature (C)_1,Temperature (C)_2,SOC
0.0,3.358855009,30.17664337,30.57515907,85.0
1.151194811,3.672473192,30.2071476,30.54466057,100.0
0.849232197,3.600762844,30.14613533,30.37857437,100.0
0.826184452,3.601070404,30.22066689,30.34807396,100.0
0.805495918,3.600762844,30.22066689,30.37857437,100.0
0.786622167,3.601070404,30.14613533,30.22937202,100.0
0.769381702,3.601070404,30.15966034,30.42267036,100.0
0.752867162,3.601070404,30.11562729,30.24297333,100.0
0.736715555,3.601070404,30.15966034,30.24297333,100.0
0.721108437,3.600762844,30.15966034,30.24297333,100.0
0.705682755,3.601070404,30.15966034,30.39217377,100.0
0.690438569,3.601070404,30.20368767,30.36167526,100.0
0.675194383,3.600762844,30.27821922,30.24297333,100.0
0.659950137,3.600762844,30.20368767,30.16836548,100.0
0.64525038,3.601070404,30.27821922,30.21247101,100.0
0.629643261,3.600762844,30.23419189,30.13785934,100.0
0.614036083,3.601070404,30.27821922,30.33117867,100.0
0.598247468,3.601070404,30.2477169,30.28707504,100.0
0.582458854,3.601070404,30.29174232,30.33117867,100.0
0.566851676,3.600762844,30.39676476,30.07685089,100.0
0.550700128,3.601070404,30.26124573,30.22607613,100.0
0.534730017,3.601070404,30.18671989,30.15146637,100.0
0.518396974,3.601070404,30.33577347,30.25657654,100.0
0.502245367,3.601378202,30.23074913,30.15146637,100.0
0.486093789,3.600762844,30.23074913,30.27018356,100.0
0.469942212,3.601070404,30.30527878,30.23968506,100.0
0.454335064,3.601070404,30.30527878,30.1345768,100.0
0.438727885,3.601070404,30.27478218,30.16507721,100.0
0.422939271,3.600762844,30.30527878,30.16507721,100.0
0.407513589,3.601070404,30.28831673,30.20918846,100.0
0.392632365,3.600762844,30.27478218,30.16507721,100.0
0.377932608,3.601070404,30.27478218,30.07357597,100.0
0.363232851,3.601070404,30.24428558,30.10407639,100.0
0.349259019,3.601070404,30.25782394,30.17868805,100.0
0.335829616,3.601070404,30.36284065,30.07357597,100.0
0.32203725,3.600762844,30.28831673,30.11769485,100.0
0.309333742,3.601070404,30.30185509,30.10407639,100.0
0.29681173,3.600455046,30.19683266,29.83281517,100.0
0.285015643,3.600762844,30.16633987,29.95157433,100.0
0.273945451,3.601378202,30.21038055,30.13131142,100.0
0.262512296,3.601070404,30.21038055,30.10081673,100.0
0.251805067,3.600762844,30.25441742,30.02619743,100.0
0.241823748,3.601070404,30.25441742,29.93470573,100.0
0.23202391,3.601070404,30.1493969,29.96520233,100.0
0.222768515,3.600762844,30.1493969,29.99570274,100.0
0.213876069,3.601378202,30.25441742,29.92107582,100.0
0.205346584,3.601070404,30.11890411,29.96520233,100.0
0.197180048,3.601378202,30.1493969,29.96520233,100.0
0.189557955,3.600762844,30.22392845,29.93470573,100.0
0.182117328,3.601070404,30.19343948,29.93470573,100.0
0.175039679,3.600762844,30.19343948,29.93470573,100.0
0.168143496,3.600762844,30.19343948,29.90420723,100.0
0.162154704,3.601070404,30.26796913,29.97883415,100.0
0.155984432,3.601070404,30.11890411,29.87370872,100.0
0.150358602,3.600762844,30.19343948,29.87370872,100.0
0.14491424,3.600762844,30.23748016,29.94833755,100.0
0.139832854,3.601070404,30.19343948,29.94833755,100.0
0.134932935,3.601070404,30.23748016,29.94833755,100.0
0.130033016,3.601070404,30.23748016,29.97883415,100.0
0.125677526,3.600762844,30.23748016,29.94833755,100.0
0.121322043,3.600762844,30.23748016,29.94833755,100.0
0.117329516,3.600762844,30.13245583,29.94833755,100.0
0.11369995,3.600762844,30.20698929,29.87370872,100.0
0.109888896,3.600762844,30.17650223,29.91783905,100.0
0.106259331,3.600762844,30.10196686,29.88734245,100.0
0.103174195,3.600762844,30.14601326,29.97561073,100.0
0.099907584,3.601070404,30.14601326,29.85684586,100.0
0.097003929,3.601070404,30.14601326,29.96197128,100.0
0.094100274,3.600762844,30.11552811,29.85684586,100.0
0.091378093,3.601070404,30.17650223,29.85684586,100.0
0.088837393,3.601070404,30.14601326,29.85684586,100.0
0.0862967,3.601070404,30.19006157,30.00610161,100.0
0.083937474,3.600762844,30.14601326,29.93147659,100.0
0.081759736,3.601070404,30.11552811,29.90098381,100.0
0.079581991,3.600762844,30.19006157,29.90098381,100.0
0.077404253,3.601070404,30.19006157,29.90098381,100.0
0.075407989,3.601070404,30.15957451,29.90098381,100.0
0.073411725,3.601070404,30.15957451,29.97561073,100.0
0.071778417,3.600762844,30.12908745,29.94511795,100.0
0.069963634,3.600762844,30.12908745,30.01974106,100.0
0.06796737,3.601070404,30.15957451,29.91462517,100.0
0.066697024,3.601070404,30.06811714,29.87048721,100.0
0.064882234,3.600762844,30.03763008,29.94511795,100.0
0.063430406,3.600762844,30.0986042,29.80950165,100.0
0.061978582,3.601070404,30.03763008,29.88413429,100.0
0.060708232,3.600762844,30.0986042,29.88413429,100.0
0.059437882,3.601070404,30.06811714,29.73486137,100.0
0.058167532,3.601070404,30.06811714,29.74851036,100.0
0.056715705,3.600762844,30.18670464,29.88413429,100.0
0.055626836,3.601070404,30.05120087,29.82314873,100.0
0.054356486,3.600455046,30.12574005,29.8672905,100.0
0.053630572,3.601070404,30.02071762,29.73167038,100.0
0.052360222,3.600762844,30.06477547,29.83679962,100.0
0.05145283,3.601070404,30.09525871,29.77581787,100.0
0.050363958,3.601070404,30.06477547,29.80630875,100.0
0.049275089,3.600762844,30.06477547,29.80630875,100.0
0.048367694,3.601070404,30.1697979,29.77581787,100.0
0.04764178,3.601070404,30.06477547,29.77581787,100.0
0.046915866,3.601070404,30.13931465,30.0606823,100.0
0.046008475,3.601070404,30.06477547,29.92508888,100.0
0.044919603,3.601070404,30.00381279,29.95557404,100.0
0.044193689,3.600762844,30.0783577,29.81996536,100.0
0.043467775,3.600762844,30.06477547,30.01337051,100.0
0.042741861,3.601070404,30.0783577,29.89460182,100.0
0.042015947,3.601070404,30.0783577,29.86411667,100.0
0.041471515,3.601070404,30.00381279,30.08798981,100.0
0.040745601,3.601070404,30.0783577,30.01337051,100.0
0.040019687,3.600762844,30.0783577,29.90826225,100.0
0.039112292,3.601070404,30.04787827,30.01337051,100.0
0.038930815,3.601070404,30.04787827,30.08798981,100.0
0.038023423,3.601070404,30.04787827,29.9387455,100.0
0.037660465,3.601070404,30.15289497,29.90826225,100.0
0.037116028,3.601070404,30.04787827,30.05751038,100.0
0.036571596,3.601070404,30.04787827,30.05751038,100.0
0.03602716,3.601070404,30.04787827,30.05751038,100.0
0.035482723,3.600762844,30.04787827,30.01337051,100.0
0.034756809,3.600762844,30.12241745,30.05751038,100.0
0.034575332,3.601070404,30.09193802,30.05751038,100.0
0.034030896,3.601070404,30.01739693,30.20673752,100.0
0.033486459,3.600762844,30.12241745,30.20673752,100.0
0.033123504,3.601070404,30.09193802,30.20673752,100.0
0.032579068,3.600762844,30.31553078,30.1762619,100.0
0.032034632,3.600455046,30.1664753,30.28134346,100.0
0.031671677,3.600762844,30.12241745,30.14578438,100.0
0.031308718,3.600762844,30.00050354,30.22039413,100.0
0.030945761,3.601070404,30.21053123,30.22039413,100.0
0.030401327,3.600762844,30.10552216,30.18992233,100.0
0.030219847,3.601070404,30.03098106,30.29500198,100.0
0.02985689,3.601070404,30.10552216,30.26452827,100.0
0.029493934,3.600762844,30.22411537,30.30866432,100.0
0.028949499,3.600762844,30.07504654,30.15944862,100.0
0.028949499,3.601070404,30.14958382,30.15944862,100.0
0.028405063,3.600762844,30.11911201,30.35279655,100.0
0.028223585,3.601070404,30.11911201,30.45785522,100.0
0.02749767,3.600762844,30.19364548,30.42739105,100.0
0.02749767,3.601070404,30.16317558,30.35279655,100.0
0.026953235,3.600762844,30.08863831,30.35279655,100.0
0.026771756,3.601070404,30.16317558,30.42739105,100.0
0.026771756,3.601070404,30.16317558,30.50198174,100.0
0.026408799,3.600762844,30.16317558,30.54610634,100.0
0.025864365,3.601070404,30.23770714,30.39692879,100.0
0.025682885,3.601070404,30.02769089,30.47151947,100.0
0.025682885,3.601378202,30.13270378,30.41059303,100.0
0.024956971,3.601070404,30.02769089,30.45472336,100.0
0.024775494,3.601070404,30.07175827,30.47151947,100.0
0.024775494,3.601070404,30.05488586,30.45472336,100.0
0.024412537,3.601070404,30.04128647,30.49885178,100.0
0.02404958,3.601070404,30.08535576,30.49885178,100.0
0.02404958,3.601070404,30.12942314,30.36333847,100.0
0.023868101,3.601378202,30.02441597,30.46839333,100.0
0.023505144,3.600762844,30.09895706,30.43793297,100.0
0.023142187,3.601070404,30.17349243,30.43793297,100.0
0.022960709,3.601070404,30.2039566,30.40747643,100.0
0.02277923,3.600762844,30.09895706,30.30241776,100.0
0.02277923,3.601070404,30.24802399,30.34655762,100.0
0.022416273,3.601070404,30.14302635,30.40747643,100.0
0.022053316,3.601070404,30.03802109,30.40747643,100.0
0.021690359,3.600762844,30.21755981,30.40747643,100.0
0.021690359,3.601070404,30.14302635,30.30241776,100.0
0.02150888,3.600762844,30.0075531,30.37701607,100.0
0.021327402,3.601070404,30.14302635,30.37701607,100.0
0.021327402,3.601070404,30.26162529,30.34655762,100.0
0.020964446,3.600762844,30.11256027,30.34655762,100.0
0.020782966,3.601070404,30.18709564,30.34655762,100.0
0.020601489,3.600762844,30.15663338,30.34655762,100.0
0.020420009,3.601070404,30.23116875,30.42115211,100.0
0.020238532,3.600762844,30.15663338,30.39069748,100.0
0.020057052,3.601070404,30.0820961,30.42115211,100.0
0.020057052,3.601070404,30.23116875,30.42115211,100.0
0.019694095,3.600762844,30.23116875,30.31609917,100.0
0.019512618,3.600762844,30.26162529,30.39069748,100.0
0.019149661,3.601070404,30.23116875,30.39069748,100.0
0.019331139,3.601070404,30.15663338,30.31609917,100.0
0.018968182,3.600762844,30.38021469,30.39069748,100.0
0.019149661,3.601070404,30.30569458,30.39069748,100.0
0.018786704,3.601070404,30.30569458,30.36024094,100.0
0.018786704,3.601070404,30.34975815,30.36024094,100.0
0.018423747,3.600762844,30.34975815,30.39069748,100.0
0.018423747,3.601070404,30.34975815,30.36024094,100.0
0.018242268,3.601070404,30.34975815,30.36024094,100.0
0.01806079,3.600762844,30.24477577,30.46529007,100.0
0.01806079,3.601070404,30.21431541,30.36024094,100.0
0.017879311,3.601070404,30.25838661,30.4043808,100.0
0.017516354,3.600762844,30.28884315,30.4789753,100.0
0.017516354,3.600762844,30.34975815,30.44852066,100.0
0.017334877,3.600762844,30.28884315,30.44852066,100.0
0.017153397,3.600762844,30.33291054,30.32978439,100.0
0.017153397,3.600762844,30.28884315,30.37392807,100.0
0.017153397,3.601070404,30.25838661,30.44852066,100.0
0.01697192,3.601070404,30.33291054,30.44852066,100.0
0.01679044,3.601070404,30.33291054,30.67227173,100.0
0.01679044,3.601070404,30.36336517,30.56724548,100.0
0.016608963,3.600762844,30.33291054,30.34347343,100.0
0.016427483,3.601070404,30.33291054,30.59769249,100.0
0.016427483,3.600762844,30.43788147,30.49266052,100.0
0.016246006,3.601070404,30.37697601,30.53679657,100.0
0.016064527,3.601070404,30.40743065,30.53679657,100.0
0.015883047,3.601070404,30.33291054,30.49266052,100.0
0.015883047,3.601070404,30.3024559,30.61137962,100.0
0.01570157,3.601070404,30.3024559,30.61137962,100.0
0.01570157,3.600762844,30.3024559,30.53679657,100.0
0.015520091,3.601070404,30.24154472,30.61137962,100.0
0.015520091,3.601070404,30.27199936,30.65551186,100.0
0.015338613,3.601070404,30.24154472,30.384552,100.0
0.015338613,3.601070404,30.21108627,30.50634766,100.0
0.015157134,3.600762844,30.2551651,30.58093262,100.0
0.015157134,3.601070404,30.31607056,30.58093262,100.0
0.014975656,3.600762844,30.46510696,30.5200386,100.0
0.014975656,3.601070404,30.2992363,30.5200386,100.0
0.014975656,3.601070404,30.37375832,30.69964409,100.0
0.014794177,3.601070404,30.2551651,30.48959351,100.0
0.01443122,3.600762844,30.2992363,30.56417847,100.0
0.014612699,3.601070404,30.37375832,30.63875961,100.0
0.01443122,3.601070404,30.37375832,30.57787514,100.0
0.01443122,3.601070404,30.3433094,30.71333504,100.0
0.014249742,3.601070404,30.3873806,30.60831642,100.0
0.014249742,3.600762844,30.37375832,30.60831642,100.0
0.014068264,3.600762844,30.37375832,30.60831642,100.0
0.014068264,3.601070404,30.41782761,30.66919899,100.0
0.013886785,3.600762844,30.3264904,30.57787514,100.0
0.013886785,3.600762844,30.31286049,30.57787514,100.0
0.013705307,3.600762844,30.28241348,30.54743195,100.0
0.013705307,3.600762844,30.3433094,30.54743195,100.0
0.013705307,3.601070404,30.31286049,30.65245438,100.0
0.013705307,3.601070404,30.3873806,30.57787514,100.0
0.013523828,3.600762844,30.3873806,30.51699257,100.0
0.01334235,3.601070404,30.3873806,30.54743195,100.0
0.01334235,3.600762844,30.41782761,30.47284508,100.0
0.013160871,3.600762844,30.4618969,30.68289375,100.0
0.013160871,3.600762844,30.28241348,30.62201309,100.0
0.013160871,3.601070404,30.3569355,30.44240189,100.0
0.013160871,3.601378202,30.3569355,30.57787514,100.0
0.012979392,3.601070404,30.3873806,30.51699257,100.0
0.012797914,3.601070404,30.3569355,30.59157562,100.0
0.012797914,3.601070404,30.3569355,30.62201309,100.0
0.012797914,3.601070404,30.3873806,30.54743195,100.0
0.012797914,3.600762844,30.3569355,30.48655128,100.0
0.012797914,3.601070404,30.3569355,30.54743195,100.0
0.012616435,3.600762844,30.4618969,30.59157562,100.0
0.012616435,3.601070404,30.3873806,30.51699257,100.0
0.012434957,3.601070404,30.4618969,30.59157562,100.0
0.012434957,3.600762844,30.37056541,30.54743195,100.0
0.012253478,3.601070404,30.3569355,30.56113625,100.0
0.012253478,3.600762844,30.40101051,30.48655128,100.0
0.012253478,3.601070404,30.3569355,30.56113625,100.0
0.012253478,3.600762844,30.4755249,30.59157562,100.0
0.012072,3.601070404,30.3264904,30.59157562,100.0
0.012072,3.601070404,30.40101051,30.56113625,100.0
0.011890521,3.600762844,30.44508553,30.60528183,100.0
0.011709043,3.601070404,30.37056541,30.53069687,100.0
0.011709043,3.600762844,30.41463852,30.53069687,100.0
0.011709043,3.601070404,30.40101051,30.53069687,100.0
0.011709043,3.601070404,30.34012032,30.53069687,100.0
0.011346086,3.601070404,30.44508553,30.53069687,100.0
0.011527564,3.600762844,30.44508553,30.63571739,100.0
0.011527564,3.601070404,30.40101051,30.56113625,100.0
0.011346086,3.600762844,30.34012032,30.45610809,100.0
0.011527564,3.601070404,30.5195961,30.53069687,100.0
0.011527564,3.601070404,30.37056541,30.60528183,100.0
0.011346086,3.600762844,30.34012032,30.50025558,100.0
0.011164607,3.600762844,30.34012032,30.50025558,100.0
0.011164607,3.601070404,30.44508553,30.56113625,100.0
0.011164607,3.600762844,30.34012032,30.50025558,100.0
0.010983129,3.600762844,30.44508553,30.50025558,100.0
0.010983129,3.601070404,30.41463852,30.53069687,100.0
0.010983129,3.600762844,30.44508553,30.45610809,100.0
0.010983129,3.601070404,30.44508553,30.53069687,100.0
0.010801651,3.600762844,30.41463852,30.57484055,100.0
0.010801651,3.600762844,30.44508553,30.50025558,100.0
0.010801651,3.601070404,30.41463852,30.50025558,100.0
0.010620172,3.601070404,30.41463852,30.50025558,100.0
0.010620172,3.601070404,30.44508553,30.53069687,100.0
0.010620172,3.600762844,30.34012032,30.4256649,100.0
0.010620172,3.601070404,30.41463852,30.67985916,100.0
0.010620172,3.601070404,30.5195961,30.57484055,100.0
0.010620172,3.601070404,30.41463852,30.50025558,100.0
0.010620172,3.600762844,30.5195961,30.50025558,100.0
0.010257215,3.601070404,30.41463852,30.53069687,100.0
0.010438694,3.601070404,30.41463852,30.53069687,100.0
0.010075737,3.600762844,30.41463852,30.50025558,100.0
0.010075737,3.601070404,30.41463852,30.50025558,100.0
0.009894258,3.600762844,30.44508553,30.60528183,100.0
0.0,3.594299555,30.48915482,30.53069687,100.0
0.0,3.591221809,30.41463852,30.57484055,99.0
0.0,3.588759661,30.5332222,30.50025558,99.0
0.0,3.58660531,30.48915482,30.50025558,99.0
0.0,3.584143162,30.42827225,30.4698143,99.0
0.0,3.58260417,30.50278473,30.29018021,99.0
0.0,3.580757618,30.47234535,30.36477852,99.0
0.0,3.578911066,30.39783096,30.33433723,99.0
0.0,3.577372074,30.35375404,30.39522171,99.0
0.0,3.575833321,30.39783096,30.3206234,98.0
0.0,3.574602127,30.32331085,30.39522171,98.0
0.0,3.573371172,30.32331085,30.36477852,98.0
0.0,3.57183218,30.42827225,30.08006668,98.0
0.0,3.570909023,30.36739349,30.30389595,98.0
0.0,3.56967783,30.38419724,30.12725258,98.0
0.0,3.568754673,30.28561592,30.11658287,98.0
0.0,3.567523479,30.29208755,30.18367004,98.0
0.0,3.566907883,30.24100494,30.28134346,98.0
0.0,3.565676928,30.24432755,30.13529778,98.0
0.0,3.564753532,30.41363525,30.15533638,98.0
0.0,3.564137936,30.38652611,30.27729034,98.0
0.0,3.563214779,30.56603432,30.27729034,98.0
0.0,3.562291384,30.55248642,30.48745346,98.0
0.0,3.561367989,30.53894234,30.36875153,98.0
0.0,3.56075263,30.55248642,30.36875153,98.0
0.0,3.560137033,30.56603432,30.57566261,98.0
0.0,3.559521437,30.53555298,30.54518318,97.0
0.0,3.55890584,30.51862717,30.57244301,97.0
0.0,3.557982683,30.62024689,30.61654663,97.0
0.0,3.557367086,30.40694427,30.59653091,97.0
0.0,3.557059288,30.49503517,30.65429497,97.0
0.0,3.556135893,30.62715912,30.74251938,97.0
0.0,3.555520535,30.6543293,30.65114594,97.0
0.0,3.555212736,30.50204277,30.61756325,97.0
0.0,3.554597139,30.48518562,30.39069748,97.0
0.0,3.553981543,30.63419724,30.39069748,97.0
